Time,Barcode Content,Image
20200303115658,"12456
",Barcode_Tag/Tag_20200303115658.png
20200303115706,Barcode Reader Test! ,Barcode_Tag/Tag_20200303115706.png
20200303115708,Barcode Reader Test! ,Barcode_Tag/Tag_20200303115708.png
20200303115712,"navid.mai@ironyun.com
Barcode Test
Barcode Reader Script Test!",Barcode_Tag/Tag_20200303115712.png
20200303115714,"navid.mai@ironyun.com
Barcode Test
Barcode Reader Script Test!",Barcode_Tag/Tag_20200303115714.png
20200303120303,https://www.google.com.tw,Barcode_Tag/Tag_20200303120303.png
20200303120309,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120309.png
20200303120311,https://www.google.com.tw,Barcode_Tag/Tag_20200303120311.png
20200303120345,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120345.png
20200303120347,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120347.png
20200303120349,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120349.png
20200303120351,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120351.png
20200303120353,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120353.png
20200303120355,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120355.png
20200303120357,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120357.png
20200303120401,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120401.png
20200303120405,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120405.png
20200303120407,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120407.png
20200303120512,"12456
",Barcode_Tag/Tag_20200303120512.png
20200303120524,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120524.png
20200303120546,Barcode & QRcode Reader Test,Barcode_Tag/Tag_20200303120546.png
20200303121251,Barcode Reader Test! ,Barcode_Tag/Tag_20200303121251.png
20200303121301,"navid.mai@ironyun.com
Barcode Test
Barcode Reader Script Test!",Barcode_Tag/Tag_20200303121301.png
20200303121303,"navid.mai@ironyun.com
Barcode Test
Barcode Reader Script Test!",Barcode_Tag/Tag_20200303121303.png
